lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847403784747158476872,2021,Van Riemsdyk-Laughton-Atkinson,PHI,line,5on5,5,787.0,44.0,0.4,0.38,0.31,3.45,0.3,0.25,0.8,0.12,2.05,1.48,0.3,0.32,0.32,4.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,6.0,2.0,3.0,4.0,1.0,0.0,0.15,0.15,0.0,1.0,0.0,0.0,10.3,5.0,5.34,2.0,0.05,0.0,0.0,0.35,0.37,0.37,6.98,0.45,0.51,1.57,0.22,5.03,3.22,0.44,0.44,0.43,6.0,5.0,5.0,16.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,6.0,11.0,0.0,0.0,7.0,9.0,2.0,2.0,9.0,2.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,15.81,11.0,11.09,0.0,0.1,0.0,0.0,0.55,0.55,0.53
84774198480860,2021,Bahl-Geertsen,NJD,pairing,5on5,3,762.0,14.0,0.4,0.36,0.29,3.65,0.4,0.21,0.94,0.13,1.99,1.33,0.4,0.4,0.4,4.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,7.0,9.0,1.0,0.0,3.0,2.0,0.0,0.12,0.28,0.0,0.0,0.0,0.0,7.64,5.0,4.83,0.0,0.04,0.0,0.0,0.45,0.44,0.44,8.74,0.62,0.46,2.11,0.27,4.85,3.69,0.6,0.64,0.63,7.0,5.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,0.0,0.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,0.31,0.31,0.0,0.0,2.0,0.0,14.65,12.0,12.42,1.0,0.1,0.0,0.0,0.71,0.74,0.73
84758258476902,2021,Lindell-Hakanpaa,DAL,pairing,5on5,72,16662.0,352.0,0.46,0.41,0.43,102.76,9.07,6.56,24.89,3.35,54.2,40.93,8.71,9.01,8.66,100.0,39.0,47.0,186.0,9.0,8.0,2.0,27.0,5.0,28.0,62.0,91.0,130.0,17.0,37.0,157.0,167.0,30.0,35.0,96.0,31.0,12.0,2.27,3.54,3.26,2.0,4.0,3.0,186.4,139.0,139.05,22.0,1.37,1.99,1.99,8.44,8.4,8.32,131.94,10.84,8.76,31.48,4.32,73.71,53.89,10.3,10.87,10.29,136.0,47.0,87.0,270.0,8.0,10.0,1.0,35.0,4.0,60.0,66.0,128.0,175.0,18.0,39.0,106.0,124.0,22.0,53.0,137.0,37.0,9.0,3.91,4.19,2.74,3.0,4.0,1.0,269.79,183.0,181.5,30.0,1.8,2.24,2.24,10.4,10.36,10.18
847745684774768481618,2021,Lehkonen-Compher-Newhook,COL,line,5on5,5,1113.0,58.0,0.39,0.44,0.39,8.13,0.8,0.5,2.15,0.25,4.19,3.1,0.77,0.86,0.83,9.0,2.0,5.0,16.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,7.0,9.0,0.0,0.0,7.0,7.0,4.0,1.0,9.0,1.0,1.0,0.27,0.12,0.4,1.0,0.0,1.0,16.84,11.0,11.5,0.0,0.1,0.4,0.4,0.5,0.53,0.53,12.87,1.23,0.98,3.44,0.4,6.46,4.49,1.17,1.19,1.13,15.0,2.0,3.0,20.0,2.0,3.0,1.0,2.0,0.0,4.0,6.0,13.0,15.0,1.0,2.0,10.0,13.0,3.0,1.0,10.0,6.0,1.0,0.25,0.71,0.26,0.0,1.0,1.0,19.48,17.0,16.35,1.0,0.2,0.48,0.48,0.95,0.9,0.89
847523584758428479351,2021,Deslauriers-Steel-Carrick,ANA,line,5on5,7,1002.0,77.0,0.4,0.46,0.4,6.14,0.46,0.32,1.29,0.18,3.26,2.48,0.46,0.48,0.48,8.0,0.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,7.0,4.0,14.0,6.0,9.0,1.0,2.0,6.0,2.0,0.0,0.21,0.25,0.0,0.0,1.0,0.0,12.3,8.0,8.0,2.0,0.07,0.0,0.0,0.53,0.54,0.54,8.6,0.68,0.51,1.89,0.27,4.56,4.09,0.68,0.69,0.69,10.0,2.0,2.0,14.0,2.0,1.0,0.0,3.0,0.0,3.0,3.0,8.0,10.0,3.0,12.0,8.0,6.0,1.0,0.0,9.0,3.0,0.0,0.27,0.41,0.0,0.0,2.0,0.0,13.86,12.0,11.94,0.0,0.1,0.12,0.12,0.66,0.68,0.68
84779698478507,2021,Pettersson-Marino,PIT,pairing,5on5,66,43147.0,201.0,0.53,0.55,0.55,366.38,26.92,23.54,87.11,11.69,203.97,152.77,25.99,27.52,26.57,374.0,132.0,158.0,664.0,25.0,27.0,5.0,92.0,12.0,156.0,194.0,349.0,481.0,44.0,104.0,303.0,318.0,81.0,87.0,402.0,84.0,20.0,11.7,9.83,5.39,10.0,12.0,3.0,684.28,506.0,518.43,44.0,4.83,4.79,4.79,26.96,27.48,27.01,302.67,24.23,19.66,73.74,10.56,165.91,124.89,23.43,24.11,23.32,298.0,121.0,133.0,552.0,20.0,21.0,3.0,77.0,9.0,123.0,169.0,278.0,399.0,38.0,88.0,289.0,400.0,74.0,83.0,317.0,84.0,18.0,8.88,10.16,5.19,8.0,6.0,6.0,538.82,419.0,413.21,46.0,4.04,4.16,4.46,23.82,23.68,23.38
84794028480871,2021,Bean-Boqvist,CBJ,pairing,5on5,26,3844.0,176.0,0.29,0.4,0.38,28.25,1.72,1.61,6.8,0.88,15.44,12.56,1.7,1.69,1.68,27.0,12.0,8.0,47.0,5.0,0.0,0.0,9.0,4.0,5.0,16.0,22.0,34.0,4.0,8.0,29.0,21.0,7.0,15.0,34.0,5.0,0.0,1.12,0.6,0.0,3.0,2.0,0.0,44.99,39.0,37.99,9.0,0.33,0.0,0.0,2.05,2.02,2.0,45.81,4.24,3.1,10.0,1.34,24.74,18.63,4.12,4.47,4.34,50.0,13.0,9.0,72.0,2.0,5.0,0.0,15.0,1.0,18.0,22.0,48.0,61.0,1.0,2.0,29.0,17.0,5.0,8.0,44.0,14.0,5.0,1.3,1.64,1.29,1.0,1.0,0.0,78.09,63.0,67.02,4.0,0.64,1.06,1.06,3.75,3.94,3.89
84716778479439,2021,Johnson-Macdonald,COL,pairing,5on5,5,1396.0,30.0,0.62,0.65,0.58,12.61,1.01,0.88,2.78,0.4,7.4,5.53,1.0,1.05,1.03,12.0,6.0,10.0,28.0,1.0,1.0,0.0,3.0,0.0,8.0,5.0,11.0,17.0,3.0,9.0,13.0,8.0,1.0,2.0,14.0,3.0,1.0,0.27,0.4,0.34,1.0,0.0,0.0,29.39,18.0,18.4,0.0,0.18,0.34,0.34,0.85,0.88,0.87,9.53,0.61,0.53,2.34,0.3,5.27,3.94,0.61,0.59,0.59,11.0,2.0,2.0,15.0,1.0,0.0,0.0,5.0,0.0,7.0,0.0,10.0,12.0,2.0,7.0,6.0,10.0,6.0,3.0,10.0,2.0,1.0,0.18,0.22,0.21,0.0,1.0,0.0,14.19,13.0,12.53,2.0,0.11,0.0,0.0,0.72,0.69,0.69
847906684800378480185,2021,Lomberg-Luostarinen-Heponiemi,FLA,line,5on5,2,1041.0,7.0,0.76,0.68,0.74,12.09,0.75,0.76,2.77,0.41,7.16,5.14,0.72,0.8,0.76,10.0,7.0,4.0,21.0,0.0,2.0,0.0,2.0,1.0,8.0,4.0,10.0,17.0,2.0,4.0,5.0,8.0,4.0,2.0,14.0,3.0,0.0,0.43,0.32,0.0,0.0,0.0,0.0,22.96,17.0,18.09,0.0,0.15,0.18,0.18,0.72,0.77,0.73,4.3,0.23,0.27,1.01,0.14,2.63,1.73,0.23,0.22,0.22,5.0,1.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,6.0,1.0,2.0,11.0,7.0,0.0,4.0,5.0,1.0,0.0,0.08,0.15,0.0,0.0,0.0,0.0,9.28,6.0,5.61,1.0,0.06,0.0,0.0,0.29,0.27,0.27
847409884779988478585,2021,Foegele-Ryan-Sceviour,EDM,line,5on5,10,1686.0,92.0,0.42,0.46,0.45,13.43,1.03,0.88,2.97,0.45,6.81,5.87,0.97,1.01,0.95,13.0,5.0,8.0,26.0,0.0,1.0,0.0,2.0,0.0,5.0,10.0,13.0,18.0,2.0,7.0,10.0,17.0,5.0,1.0,15.0,1.0,2.0,0.42,0.11,0.51,0.0,0.0,0.0,25.59,18.0,17.81,1.0,0.18,0.26,0.26,0.95,0.94,0.93,16.49,1.44,0.96,3.86,0.52,8.56,6.65,1.42,1.51,1.49,21.0,1.0,8.0,30.0,3.0,0.0,0.0,8.0,0.0,6.0,5.0,18.0,19.0,3.0,9.0,14.0,14.0,6.0,6.0,16.0,4.0,2.0,0.42,0.46,0.56,2.0,0.0,1.0,31.32,22.0,22.93,5.0,0.2,0.0,0.0,1.64,1.72,1.7
