name: Kari Lehtonen, season: 2011, playerId: 8470140, team: DAL, position: G, situation: other, games_played: 59, icetime: 6237.0, xGoals: 10.55, goals: 7.0, unblocked_shot_attempts: 201.0, xRebounds: 7.45, rebounds: 7.0, xFreeze: 22.7, freeze: 15.0, xOnGoal: 108.21, ongoal: 104.0, xPlayStopped: 2.02, playStopped: 0.0, xPlayContinuedInZone: 59.31, playContinuedInZone: 59.0, xPlayContinuedOutsideZone: 45.51, playContinuedOutsideZone: 57.0, flurryAdjustedxGoals: 9.97, lowDangerShots: 109.0, mediumDangerShots: 29.0, highDangerShots: 11.0, lowDangerxGoals: 3.34, mediumDangerxGoals: 3.67, highDangerxGoals: 3.54, lowDangerGoals: 3.0, mediumDangerGoals: 3.0, highDangerGoals: 1.0, blocked_shot_attempts: 52.0, penalityMinutes: 0.0, penalties: 0.0

name: Kari Lehtonen, season: 2011, playerId: 8470140, team: DAL, position: G, situation: all, games_played: 59, icetime: 208609.0, xGoals: 135.05, goals: 136.0, unblocked_shot_attempts: 3356.0, xRebounds: 119.14, rebounds: 129.0, xFreeze: 404.19, freeze: 371.0, xOnGoal: 1744.25, ongoal: 1739.0, xPlayStopped: 52.84, playStopped: 43.0, xPlayContinuedInZone: 996.42, playContinuedInZone: 849.0, xPlayContinuedOutsideZone: 740.86, playContinuedOutsideZone: 903.0, flurryAdjustedxGoals: 129.67, lowDangerShots: 1941.0, mediumDangerShots: 396.0, highDangerShots: 116.0, lowDangerxGoals: 51.81, mediumDangerxGoals: 48.15, highDangerxGoals: 35.09, lowDangerGoals: 52.0, mediumDangerGoals: 52.0, highDangerGoals: 32.0, blocked_shot_attempts: 903.0, penalityMinutes: 0.0, penalties: 0.0

name: Kari Lehtonen, season: 2011, playerId: 8470140, team: DAL, position: G, situation: 5on5, games_played: 59, icetime: 164862.0, xGoals: 92.55, goals: 96.0, unblocked_shot_attempts: 2476.0, xRebounds: 81.3, rebounds: 88.0, xFreeze: 309.53, freeze: 287.0, xOnGoal: 1286.34, ongoal: 1275.0, xPlayStopped: 42.45, playStopped: 33.0, xPlayContinuedInZone: 723.25, playContinuedInZone: 609.0, xPlayContinuedOutsideZone: 556.37, playContinuedOutsideZone: 673.0, flurryAdjustedxGoals: 89.85, lowDangerShots: 1443.0, mediumDangerShots: 292.0, highDangerShots: 70.0, lowDangerxGoals: 39.04, mediumDangerxGoals: 35.5, highDangerxGoals: 18.0, lowDangerGoals: 41.0, mediumDangerGoals: 37.0, highDangerGoals: 18.0, blocked_shot_attempts: 671.0, penalityMinutes: 0.0, penalties: 0.0

name: Kari Lehtonen, season: 2011, playerId: 8470140, team: DAL, position: G, situation: 4on5, games_played: 59, icetime: 20811.0, xGoals: 29.02, goals: 32.0, unblocked_shot_attempts: 607.0, xRebounds: 28.55, rebounds: 34.0, xFreeze: 66.47, freeze: 63.0, xOnGoal: 311.23, ongoal: 322.0, xPlayStopped: 1.38, playStopped: 0.0, xPlayContinuedInZone: 201.44, playContinuedInZone: 171.0, xPlayContinuedOutsideZone: 105.79, playContinuedOutsideZone: 134.0, flurryAdjustedxGoals: 26.94, lowDangerShots: 342.0, mediumDangerShots: 68.0, highDangerShots: 32.0, lowDangerxGoals: 7.98, mediumDangerxGoals: 8.11, highDangerxGoals: 12.94, lowDangerGoals: 7.0, mediumDangerGoals: 12.0, highDangerGoals: 13.0, blocked_shot_attempts: 165.0, penalityMinutes: 0.0, penalties: 0.0

name: Kari Lehtonen, season: 2011, playerId: 8470140, team: DAL, position: G, situation: 5on4, games_played: 59, icetime: 16699.0, xGoals: 2.55, goals: 1.0, unblocked_shot_attempts: 63.0, xRebounds: 1.53, rebounds: 0.0, xFreeze: 4.67, freeze: 4.0, xOnGoal: 34.19, ongoal: 35.0, xPlayStopped: 6.61, playStopped: 10.0, xPlayContinuedInZone: 10.19, playContinuedInZone: 7.0, xPlayContinuedOutsideZone: 31.05, playContinuedOutsideZone: 38.0, flurryAdjustedxGoals: 2.55, lowDangerShots: 43.0, mediumDangerShots: 5.0, highDangerShots: 3.0, lowDangerxGoals: 1.3, mediumDangerxGoals: 0.64, highDangerxGoals: 0.61, lowDangerGoals: 1.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 12.0, penalityMinutes: 0.0, penalties: 0.0

name: Curtis McElhinney, season: 2011, playerId: 8470147, team: ARI, position: G, situation: other, games_played: 2, icetime: 71.0, xGoals: 0.57, goals: 0.0, unblocked_shot_attempts: 5.0, xRebounds: 0.24, rebounds: 0.0, xFreeze: 0.62, freeze: 1.0, xOnGoal: 3.0, ongoal: 4.0, xPlayStopped: 0.02, playStopped: 0.0, xPlayContinuedInZone: 1.93, playContinuedInZone: 2.0, xPlayContinuedOutsideZone: 0.54, playContinuedOutsideZone: 1.0, flurryAdjustedxGoals: 0.53, lowDangerShots: 0.0, mediumDangerShots: 3.0, highDangerShots: 1.0, lowDangerxGoals: 0.0, mediumDangerxGoals: 0.27, highDangerxGoals: 0.3, lowDangerGoals: 0.0, mediumDangerGoals: 0.0, highDangerGoals: 0.0, blocked_shot_attempts: 1.0, penalityMinutes: 0.0, penalties: 0.0
